tahun,provinsi,kabupaten_kota,kecamatan,kelurahan,jenis_kelamin,jumlah
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,PULO,Laki-Laki,794
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,Laki-Laki,1879
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,Laki-Laki,7049
2020,DKI Jakarta,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,Laki-Laki,6375
2020,DKI Jakarta,JAKARTA SELATAN,PANCORAN,PANCORAN,Laki-Laki,3894
2020,DKI Jakarta,JAKARTA SELATAN,PANCORAN,KALIBATA,Laki-Laki,8302
2020,DKI Jakarta,JAKARTA SELATAN,PANCORAN,RAWA JATI,Laki-Laki,3915
2020,DKI Jakarta,JAKARTA SELATAN,PANCORAN,DUREN TIGA,Laki-Laki,5379
2020,DKI Jakarta,JAKARTA SELATAN,PANCORAN,PENGADEGAN,Laki-Laki,3888
2020,DKI Jakarta,JAKARTA SELATAN,PANCORAN,CIKOKO,Laki-Laki,2014
2020,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,Laki-Laki,12574
2020,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,Laki-Laki,11742
2020,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,Laki-Laki,7882
2020,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,Laki-Laki,11140
2020,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,Laki-Laki,7937
2020,DKI Jakarta,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,Laki-Laki,7954
2020,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,Laki-Laki,5411
2020,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,Laki-Laki,10260
2020,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,Laki-Laki,10855
2020,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,Laki-Laki,7282
2020,DKI Jakarta,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,Laki-Laki,8446
2020,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,Laki-Laki,6020
2020,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,Laki-Laki,5369
2020,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,Laki-Laki,4623
2020,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,Laki-Laki,3380
2020,DKI Jakarta,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,Laki-Laki,2849
