,Kabupaten_Kota,Kecamatan,Kelurahan,Kelamin,Pekerjaan,Jumlah
3120,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Bidan,0
3121,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Perawat,2
3122,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Psikiater/Psikolog,0
3123,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Pelaut,13
3124,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Sopir,150
3125,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Pedagang,121
3126,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Biarawan/Biarawati,0
3127,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Wiraswasta,3831
3128,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Lainnya,32
3129,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Belum/Tidak Bekerja,48
3130,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Mengurus Rumah Tangga,0
3131,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Pelajar/Mahasiswa,86
3132,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Pensiunan,661
3133,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Pegawai Negeri Sipil,180
3134,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Tentara Nasional Indonesia,1105
3135,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Kepolisian RI,35
3136,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Perdagangan,2
3137,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Petani/Pekebun,3
3138,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Nelayan/Perikanan,1
3139,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Konstruksi,2
3140,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Transportasi,2
3141,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Karyawan Swasta,5599
3142,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Karyawan BUMN,60
3143,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Karyawan BUMD,4
3144,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Karyawan Honorer,4
3145,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Buruh Harian Lepas,283
3146,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Pembantu Rumah Tangga,0
3147,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Tukang Batu,1
3148,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Seniman,5
3149,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Perancang Busana,1
3150,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Pendeta,27
3151,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Pastor,2
3152,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Wartawan,15
3153,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Promotor Acara,1
3154,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Anggota DPR-RI,4
3155,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Dosen,29
3156,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Guru,50
3157,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Pilot,4
3158,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Pengacara,26
3159,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Notaris,6
3160,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Arsitek,2
3161,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Akuntan,1
3162,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Konsultan,21
3163,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Dokter,93
3164,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Bidan,0
3165,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Perawat,5
3166,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Apoteker,2
3167,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Psikiater/Psikolog,0
3168,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Pelaut,26
3169,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Sopir,36
3170,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Pedagang,188
3171,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Biarawan/Biarawati,0
3172,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Wiraswasta,2406
3173,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,LAKI-LAKI,Lainnya,10
3174,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Belum/Tidak Bekerja,122
3175,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Mengurus Rumah Tangga,5
3176,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,LAKI-LAKI,Pelajar/Mahasiswa,210
